house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area,building_area,jarak_ke_kota_km
Rumah Siap Huni Minimalis Di Batunuggal Mulia Bandung,"Batununggal, Bandung",4,3,1,3970000000.0,325,216,3.71253599
"Rumah Modern Minimalis di Batununggal, Bandung","Batununggal, Bandung",3,2,0,2850000000.0,162,200,3.71253599
Rumah SHM Bagus hadap Timur,"Batununggal, Bandung",6,5,1,3000000000.0,260,400,3.71253599
"Rumah SHM Lokasi Strategis di Salendro Timur Vii, Batununggal, Bandung","Batununggal, Bandung",5,3,1,2600000000.0,200,340,3.71253599
Rumah Siap Huni Design Modern 2 Lantai di Batununggal Bandung,"Batununggal, Bandung",4,4,2,5200000000.0,220,295,3.71253599
Jual Rumah Batununggal Terawat Bagus,"Batununggal, Bandung",4,4,2,3900000000.0,240,380,3.71253599
"Rumah Siap Huni di Batununggal Lestari, Bandung","Batununggal, Bandung",4,4,2,5200000000.0,220,295,3.71253599
Rumah Cantik Mewah di Batununggal Bandung,"Batununggal, Bandung",3,3,3,4300000000.0,200,250,3.71253599
Rumah Mewah Siap Huni di Batununggal Indah Bandung,"Batununggal, Bandung",5,5,2,9500000000.0,473,550,3.71253599
"Dijual Rumah Lux 2 Lantai di Batununggal, Bandung","Batununggal, Bandung",3,3,0,3000000000.0,126,180,3.71253599
Rumah Cluster One Gate di Batununggal Jelita,"Batununggal, Bandung",3,2,2,6250000000.0,280,290,3.71253599
"Rumah Minimalis Siap Huni Dekat Tol di Batununggal, Bandung","Batununggal, Bandung",4,4,2,5200000000.0,220,295,3.71253599
Rumah Bagus Hdp Utara di Batununggal Indah,"Batununggal, Bandung",3,2,1,2850000000.0,195,170,3.71253599
Dijual Rumah di Batununggal Elok 2 Lantai SHM hadap Timur,"Batununggal, Bandung",4,3,2,5800000000.0,300,400,3.71253599
Rumah 2 Lantai Bagus Area Batununggal Bandung Semi Furnished,"Batununggal, Bandung",3,2,2,2300000000.0,150,140,3.71253599
Rumah Keren Murah di Batununggal Bandung,"Batununggal, Bandung",3,3,2,1860000000.0,84,110,3.71253599
Hot listing rumah di BN harga menarik nego sampai deal,"Batununggal, Bandung",4,3,1,3000000000.0,180,300,3.71253599
Rumah Bagus 3 Lantai Sayap Buah Batu Suhat Bandung Hook SHM,"Batununggal, Bandung",6,5,1,3900000000.0,235,450,3.71253599
Rumah dan Ruang Usaha Hoek di Mainroad Jl Leuwi Sari Raya Bandung,"Bojongloa Kidul, Bandung",3,3,1,3050000000.0,157,165,5.193800646
